ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11158768,JA523502,11/23/2017 11:00:00 AM,016XX N CENTRAL PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1422,014,26,23,14,1152128,1910695,2017,11/30/2017 03:52:45 PM,41.910816526,-87.716571364,"(41.910816526, -87.716571364)"
11158769,JA522780,11/23/2017 02:03:00 PM,014XX W LAWRENCE AVE,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1913,019,46,3,08A,1165914,1931979,2017,11/30/2017 03:52:45 PM,41.968937705,-87.665317278,"(41.968937705, -87.665317278)"
11158785,JA522741,11/23/2017 01:05:00 PM,066XX S MARYLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0321,003,5,42,08B,1183034,1861213,2017,11/30/2017 03:52:45 PM,41.774368937,-87.604577337,"(41.774368937, -87.604577337)"
11158792,JA523491,11/23/2017 07:00:00 PM,082XX S ELLIS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0631,006,8,44,26,1184329,1850598,2017,11/30/2017 03:52:45 PM,41.745210123,-87.600161796,"(41.745210123, -87.600161796)"
11158796,JA524436,11/23/2017 09:00:00 PM,062XX S WABASH AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0311,003,20,40,06,1177787,1863710,2017,11/30/2017 03:52:45 PM,41.781341365,-87.623736232,"(41.781341365, -87.623736232)"
11158806,JA524442,11/23/2017 07:30:00 AM,007XX W ALDINE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1925,019,44,6,14,1170671,1922131,2017,11/30/2017 03:52:45 PM,41.941811357,-87.648115533,"(41.941811357, -87.648115533)"
11158826,JA524490,11/23/2017 10:45:00 PM,029XX W ARMITAGE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1414,014,35,22,06,1156028,1913139,2017,11/30/2017 03:52:45 PM,41.917445216,-87.702178028,"(41.917445216, -87.702178028)"
11158872,JA524572,11/23/2017 09:00:00 AM,043XX N NARRAGANSETT AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,"SCHOOL, PUBLIC, BUILDING",false,false,1632,016,38,17,26,1132905,1928088,2017,11/30/2017 03:52:45 PM,41.958902502,-87.786783523,"(41.958902502, -87.786783523)"
11158908,JA524592,11/23/2017 03:50:00 PM,046XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0215,002,3,38,06,1177934,1874391,2017,11/30/2017 03:52:45 PM,41.810647712,-87.622873667,"(41.810647712, -87.622873667)"
11158913,JA524571,11/23/2017 05:30:00 AM,017XX N CENTRAL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,false,false,2531,025,29,25,07,1138779,1911028,2017,11/30/2017 03:52:45 PM,41.911983247,-87.765603334,"(41.911983247, -87.765603334)"
11159008,JA524651,11/23/2017 03:30:00 AM,025XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,false,false,1414,014,35,22,06,1155360,1916730,2017,11/30/2017 03:52:45 PM,41.927312671,-87.70453554,"(41.927312671, -87.70453554)"
11159097,JA524849,11/23/2017 10:00:00 AM,027XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1135,011,28,29,06,1158071,1894595,2017,11/30/2017 03:52:45 PM,41.866517317,-87.695178701,"(41.866517317, -87.695178701)"
11159099,JA524910,11/23/2017 02:00:00 AM,068XX W ARCHER AVE,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,0811,008,23,56,06,1131510,1867303,2017,11/30/2017 03:52:45 PM,41.792123914,-87.793318202,"(41.792123914, -87.793318202)"
11159124,JA524912,11/23/2017 09:00:00 AM,100XX W OHARE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,1651,016,41,76,11,1100658,1934241,2017,11/30/2017 03:52:45 PM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
11159125,JA524889,11/23/2017 10:00:00 AM,014XX W IRVING PARK RD,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,WAREHOUSE,false,false,1922,019,47,6,11,1165627,1926651,2017,11/30/2017 03:52:45 PM,41.954323593,-87.666525022,"(41.954323593, -87.666525022)"
11159171,JA525031,11/23/2017 09:00:00 AM,053XX W DEMING PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,2515,025,31,19,08B,1140316,1916447,2017,11/30/2017 03:52:45 PM,41.926825518,-87.759823627,"(41.926825518, -87.759823627)"
11159173,JA524979,11/23/2017 09:00:00 AM,059XX W MIDWAY PARK,0890,THEFT,FROM BUILDING,APARTMENT,false,true,1512,015,29,25,06,1136645,1902627,2017,11/30/2017 03:52:45 PM,41.888968348,-87.773644504,"(41.888968348, -87.773644504)"
11159239,JA525014,11/23/2017 10:50:00 PM,103XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,0512,005,9,49,06,1178964,1836624,2017,11/30/2017 03:52:45 PM,41.706987456,-87.620244029,"(41.706987456, -87.620244029)"
11159243,JA524621,11/23/2017 05:00:00 PM,014XX N HUMBOLDT DR,0810,THEFT,OVER $500,SIDEWALK,false,false,1423,014,26,24,06,1156303,1909321,2017,11/30/2017 03:52:45 PM,41.906962748,-87.701271041,"(41.906962748, -87.701271041)"
11159289,JA523004,11/23/2017 07:00:00 PM,059XX W PATTERSON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1633,016,38,15,05,1136035,1923659,2017,11/30/2017 03:52:45 PM,41.946693523,-87.775382193,"(41.946693523, -87.775382193)"
11159293,JA523954,11/23/2017 03:00:00 PM,058XX N NAGLE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,false,false,1611,016,41,10,05,1132602,1938406,2017,11/30/2017 03:52:45 PM,41.987221388,-87.787655871,"(41.987221388, -87.787655871)"
11159305,JA524884,11/23/2017 12:00:00 AM,018XX S HAMLIN AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,1014,010,24,29,20,1151341,1890887,2017,11/30/2017 03:52:45 PM,41.856476758,-87.719982622,"(41.856476758, -87.719982622)"
